States / UTs,Private sector (No.),Private sector Capacity (tonnes),Cooperative sector (No.),Cooperative sector Capacity (tonnes),Public sector (No.),Public sector Capacity (tonnes),Total number,Total capacity (tonnes)
Andaman & Nicobar Islands ,1,170,0,0,1,40,2,210
Andhra Pradesh,269,885557,11,11598,10,3451,290,900606
Arunachal Pradesh,1,5000,0,0,0,0,1,5000
Assam,19,85948,1,1000,4,1120,24,88068
Bihar,236,1100641,10,46400,0,0,246,1147041
Chandigarh ,5,1216,1,1000,0,0,6,12216
Chhattisgarh,67,341815,1,29,1,41,69,341885
Delhi,77,103277,2,5201,16,17680,95,126158
Gujarat ,372,1230198,21,30669,5,6437,398,1267304
Goa,29,7705,0,0,0,0,29,7705
Haryana,234,378319,4,3403,6,11399,244,393121
Himachal Pradesh,9,12896,2,767,7,6195,18,19858
Jammu & Kashmir,15,40689,3,2134,1,46,19,42869
Jharkhand,37,142733,8,27415,0,0,45,170148
Kerala,176,55335,6,1080,11,1690,193,58105
Karnataka,135,390882,18,6689,17,9594,170,407165
Lakshadweep ,0,0,0,0,1,15,1,15
Maharashtra,379,507678,55,25346,32,13724,466,546748
Madhya Pradesh ,172,704270,20,101348,5,2434,197,808052
Manipur,0,0,0,0,0,0,0,0
Meghalaya,1,1200,0,0,2,2000,3,3200
Mizoram,0,0,0,0,0,0,0,0
Nagaland,1,500,1,1150,0,0,2,6150
Odisha,81,248739,16,38100,4,5200,101,291039
Puducherry,2,35,1,50,0,0,3,85
Punjab,404,1306101,18,39092,0,0,422,1345193
Rajasthan,100,320380,9,3832,1,14,110,324226
Sikkim,0,0,0,0,1,2000,1,2000
Tamil Nadu,130,225712,13,7562,5,5262,148,238536
Tripura,3,12750,1,5000,7,11700,11,29450
Uttar Pradesh ,1505,9842000,84,276000,0,0,1589,10118000
Uttarakhand,12,60499,0,0,3,8000,15,68499
West Bengal,413,5380000,50,302000,0,0,463,5682000
Total,4885,23406745,356,936865,140,107042,5381,24450652
